id,gcontext,context,sandstone,shale,wrpebble,material,asymmetric,oval,round,shape,size1,size2,size3,size4,size5,size,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
87,XI,XI.1,0,0,1,wrpebble,0,1,0,oval,0,1,0,0,0,size2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,XI,XI.1,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,XI,XI.1,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,XI,XI.1,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,XI,XI.1,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
187,XI,XI.B,1,0,0,sandstone,0,0,1,round,0,1,0,0,0,size2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,XI,XI.B,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,XI,XI.E,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,XI,XI.E,0,1,0,shale,1,0,0,asymm,0,0,1,0,0,size3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,XI,XI.E,1,0,0,sandstone,0,1,0,oval,0,0,1,0,0,size3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
257,XI,XI.E,0,1,0,shale,1,0,0,asymm,0,0,1,0,0,size3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,XI,XI.E,0,1,0,shale,1,0,0,asymm,0,0,1,0,0,size3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
