id,asymmetric,oval,round,shape,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
1562,0,1,0,oval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,1,0,0,asymm,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,0,0,1,round,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1569,1,0,0,asymm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,0,1,0,oval,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1572,0,0,1,round,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,0,0,1,round,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1576,0,0,1,round,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1583,0,0,1,round,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1592,1,0,0,asymm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1595,0,1,0,oval,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,1,0,0,asymm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,0,1,0,oval,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,1,0,0,asymm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1705,0,1,0,oval,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,0,0,1,round,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2027,0,0,1,round,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,1,0,0,asymm,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2038,1,0,0,asymm,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2052,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,1,round,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,0,1,0,oval,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2289,1,0,0,asymm,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2291,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2298,0,1,0,oval,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2300,0,1,0,oval,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2303,1,0,0,asymm,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,1,0,0,asymm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2334,0,0,1,round,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2338,0,0,1,round,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2396,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2432,0,1,0,oval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,1,0,0,asymm,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2658,1,0,0,asymm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2668,0,0,1,round,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2673,0,0,1,round,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2684,0,0,1,round,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2685,0,0,1,round,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2803,0,1,0,oval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,1,0,0,asymm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,0,0,1,round,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3027,0,0,1,round,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3028,0,1,0,oval,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3036,0,1,0,oval,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3037,1,0,0,asymm,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3048,1,0,0,asymm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3052,0,1,0,oval,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057,1,0,0,asymm,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
3058,0,0,1,round,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3060,0,0,1,round,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3062,0,1,0,oval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3063,0,0,1,round,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,0,0,1,round,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3068,0,1,0,oval,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3069,0,1,0,oval,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3070,0,0,1,round,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3083,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3248,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3350,0,0,1,round,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3374,1,0,0,asymm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,1,0,0,asymm,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3454,0,0,1,round,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3474,0,0,1,round,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3496,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3497,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503,1,0,0,asymm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3512,0,0,1,round,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3516,0,0,1,round,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3520,0,1,0,oval,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3538,1,0,0,asymm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
